caseid,complete_stat,is_volenteer,dh1gage,sex,marrige_stat,living_stat,province,vol_times,vol_fre,vol_time,is_work,is_workalone,gavin_times,gavin_sum,emp_stat,degree,is_citizens,is_school,is_immigration,happiness
2980,Complete,Not a volunteer but a giver,35-44 years,Female,"Single, never married",Single/non-single child(ren) only,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,"NA"
2981,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Quebec,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
2982,Complete,Neither volunteer nor giver,65 years and over,Female,Married,Spouse only,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
2983,Complete,Not a volunteer but a giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Alberta,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Other citizenship(s) non-Canadian only,No,Yes,Very satisfied
2984,Complete,Volunteer and giver,35-44 years,Female,Living common-law,Spouse only,Quebec,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
2985,Complete,Volunteer and giver,45-54 years,Male,Divorced,Single/non-single child(ren) only,Ontario,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
2986,Complete,Volunteer and giver,55-64 years,Female,Separated,Alone,New Brunswick,"NA",Once or twice (in the past 12 months),"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
2987,Complete,Volunteer and giver,55-64 years,Male,Married,Spouse only,New Brunswick,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
2988,Complete,Not a volunteer but a giver,25-34 years,Male,"Single, never married",Alone,Alberta,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
2989,Complete,Volunteer and giver,45-54 years,Male,Married,Spouse only,Saskatchewan,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
2990,Partial,Not a volunteer but a giver,55-64 years,Male,Divorced,Alone,British Columbia,"NA",Valid skip,"NA",Not stated,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
2991,Complete,Volunteer and giver,65 years and over,Female,Widowed,Alone,New Brunswick,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,Very satisfied
2992,Complete,Not a volunteer but a giver,65 years and over,Female,Married,Spouse only,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by naturalization only,No,Yes,"NA"
2993,Complete,Neither volunteer nor giver,55-64 years,Male,Married,Spouse and single/non-single child(ren),British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,No,Refusal,"NA"
2994,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Newfoundland and Labrador,"NA",Once or twice (in the past 12 months),"NA",No,Valid skip,"NA","NA",Unemployed,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
2995,Complete,Volunteer and giver,55-64 years,Male,Married,Spouse only,Manitoba,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
2996,Complete,Not a volunteer but a giver,45-54 years,Female,Living common-law,Spouse and single/non-single child(ren),Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
2997,Complete,Volunteer and giver,25-34 years,Female,Married,Spouse and single/non-single child(ren),Manitoba,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
2998,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,British Columbia,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
2999,Complete,Volunteer and giver,45-54 years,Male,Living common-law,Spouse only,Ontario,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3000,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse only,Alberta,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Other citizenship(s) non-Canadian only,No,Yes,Very satisfied
3001,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Prince Edward Island,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3002,Complete,Volunteer and giver,45-54 years,Female,Married,Spouse and single/non-single child(ren),Manitoba,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3003,Complete,Not a volunteer but a giver,65 years and over,Male,Married,Alone,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by naturalization only,No,Yes,"NA"
3004,Partial,Volunteer and giver,45-54 years,Female,Divorced,Single/non-single child(ren) only,Prince Edward Island,"NA",Daily or almost daily,"NA",Yes,No,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
3005,Complete,Not a volunteer but a giver,45-54 years,Female,"Single, never married",Living with one or two parents,New Brunswick,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3006,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,British Columbia,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3007,Complete,Volunteer and giver,45-54 years,Female,Married,Spouse and single/non-single child(ren),Ontario,"NA",At least once a month,"NA",Yes,Yes,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3008,Complete,Not a volunteer but a giver,65 years and over,Male,Living common-law,Spouse only,Quebec,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3009,Complete,Volunteer and giver,65 years and over,Female,Widowed,Alone,New Brunswick,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by naturalization only,No,Yes,"NA"
3010,Complete,Not a volunteer but a giver,45-54 years,Male,Living common-law,Spouse and single/non-single child(ren),Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3011,Complete,Not a volunteer but a giver,65 years and over,Male,Married,Spouse only,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3012,Complete,Volunteer and giver,15-24 years,Female,"Single, never married",Living with one or two parents,Ontario,"NA",At least 3 or 4 times (in the past 12 months),"NA",No,Valid skip,"NA","NA",Unemployed,Less than High School,Undetermined,Yes,Refusal,"NA"
3013,Complete,Volunteer and giver,25-34 years,Male,"Single, never married",Alone,Alberta,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3014,Complete,Volunteer and giver,35-44 years,Male,"Single, never married",Single/non-single child(ren) only,Quebec,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3015,Complete,Not a volunteer but a giver,15-24 years,Male,"Single, never married",Living with one or two parents,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,Very satisfied
3016,Complete,Not a volunteer but a giver,65 years and over,Male,Widowed,Alone,Nova Scotia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3017,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Alone,Prince Edward Island,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
3018,Complete,Volunteer and giver,55-64 years,Female,"Single, never married",Alone,British Columbia,"NA",Daily or almost daily,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by naturalization only,No,Yes,"NA"
3019,Complete,Neither volunteer nor giver,55-64 years,Male,"Single, never married",Alone,Prince Edward Island,"NA",Valid skip,"NA",Yes,No,"NA","NA",Unemployed,Less than High School,Canadian citizen by birth only,No,Valid skip,Very dissatisfied
3020,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Manitoba,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3021,Complete,Volunteer and giver,55-64 years,Female,Widowed,Alone,Newfoundland and Labrador,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,Very satisfied
3022,Complete,Volunteer and giver,25-34 years,Female,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3023,Complete,Volunteer and giver,35-44 years,Male,Living common-law,Spouse and single/non-single child(ren),Quebec,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
3024,Complete,Not a volunteer but a giver,45-54 years,Female,Divorced,Alone,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3025,Complete,Volunteer and giver,55-64 years,Female,Divorced,Living with one or two parents,Ontario,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3026,Complete,Not a volunteer but a giver,65 years and over,Female,Separated,Spouse and single/non-single child(ren),Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by naturalization only,No,Yes,"NA"
3027,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Quebec,"NA",Daily or almost daily,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3028,Complete,Neither volunteer nor giver,25-34 years,Female,"Single, never married",Other living arrangement,British Columbia,"NA",Valid skip,"NA",Yes,No,"NA","NA",Not in labour force,Graduated from High school,Undetermined,Yes,Valid skip,"NA"
3029,Complete,Volunteer and giver,15-24 years,Male,"Single, never married",Living with one or two parents,New Brunswick,"NA",At least 3 or 4 times (in the past 12 months),"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,Yes,Valid skip,"NA"
3030,Partial,"Volunteer, not giver",55-64 years,Female,Divorced,Other living arrangement,Quebec,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
3031,Complete,Not a volunteer but a giver,65 years and over,Male,Married,Spouse only,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth and other citizenship(s),No,Yes,Very satisfied
3032,Partial,Volunteer and giver,45-54 years,Female,Married,Spouse only,Newfoundland and Labrador,"NA",Daily or almost daily,"NA",No,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
3033,Complete,Volunteer and giver,45-54 years,Female,"Single, never married",Alone,Ontario,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,Yes,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3034,Complete,Volunteer and giver,25-34 years,Female,"Single, never married",Alone,Saskatchewan,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3035,Complete,Not a volunteer but a giver,55-64 years,Female,Married,Spouse only,Prince Edward Island,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3036,Complete,Not a volunteer but a giver,55-64 years,Male,Married,Spouse and single/non-single child(ren),Ontario,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Employed,Graduated from High school,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
3037,Complete,Not a volunteer but a giver,45-54 years,Female,Married,Spouse and single/non-single child(ren),Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
3038,Complete,Volunteer and giver,45-54 years,Male,Married,Spouse only,British Columbia,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3039,Complete,Volunteer and giver,35-44 years,Female,Married,Spouse and single/non-single child(ren),Quebec,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3040,Complete,Not a volunteer but a giver,25-34 years,Female,"Single, never married",Alone,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by naturalization and other citizenship(s),Yes,Valid skip,"NA"
3041,Complete,Not a volunteer but a giver,65 years and over,Male,Married,Spouse only,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
3042,Complete,Not a volunteer but a giver,45-54 years,Male,Living common-law,Spouse only,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3043,Complete,Not a volunteer but a giver,25-34 years,Male,Married,Spouse and single/non-single child(ren),Newfoundland and Labrador,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
3044,Complete,Volunteer and giver,45-54 years,Female,Widowed,Alone,New Brunswick,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3045,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Alone,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
3046,Complete,Not a volunteer but a giver,65 years and over,Male,Married,Spouse only,Prince Edward Island,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,Very satisfied
3047,Complete,"Volunteer, not giver",55-64 years,Female,Married,Spouse and single/non-single child(ren),British Columbia,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Unemployed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
3048,Complete,Volunteer and giver,65 years and over,Female,Divorced,Alone,Newfoundland and Labrador,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3049,Complete,Volunteer and giver,25-34 years,Male,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3050,Complete,Not a volunteer but a giver,65 years and over,Female,Married,Spouse only,Prince Edward Island,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3051,Partial,Volunteer and giver,25-34 years,Female,"Single, never married",Single/non-single child(ren) only,Ontario,"NA",Once or twice (in the past 12 months),"NA",Not stated,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
3052,Complete,Not a volunteer but a giver,15-24 years,Male,"Single, never married",Alone,Manitoba,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3053,Complete,Volunteer and giver,65 years and over,Female,Widowed,Alone,New Brunswick,"NA",At least once a month,"NA",Yes,Yes,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3054,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Newfoundland and Labrador,"NA",Daily or almost daily,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
3055,Complete,Not a volunteer but a giver,55-64 years,Male,Married,Other living arrangement,Prince Edward Island,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
3056,Complete,Not a volunteer but a giver,25-34 years,Female,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3057,Complete,Volunteer and giver,35-44 years,Male,Living common-law,Spouse and single/non-single child(ren),Quebec,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3058,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Saskatchewan,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3059,Complete,Neither volunteer nor giver,15-24 years,Male,"Single, never married",Living with one or two parents,British Columbia,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Other citizenship(s) non-Canadian only,Yes,Yes,"NA"
3060,Complete,Volunteer and giver,65 years and over,Female,Living common-law,Spouse only,Prince Edward Island,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Other citizenship(s) non-Canadian only,No,Yes,Very satisfied
3061,Partial,Not a volunteer but a giver,25-34 years,Female,Living common-law,Spouse only,British Columbia,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
3062,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Ontario,"NA",Daily or almost daily,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3063,Complete,Not a volunteer but a giver,45-54 years,Female,Married,Spouse only,Newfoundland and Labrador,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
3064,Complete,Volunteer and giver,45-54 years,Female,Living common-law,Spouse and single/non-single child(ren),Ontario,"NA",At least once a month,"NA",Yes,Yes,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,Yes,Valid skip,"NA"
3065,Complete,Volunteer and giver,65 years and over,Female,Widowed,Alone,New Brunswick,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
3066,Complete,Volunteer and giver,65 years and over,Male,Widowed,Other living arrangement,New Brunswick,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by naturalization and other citizenship(s),No,Yes,Very satisfied
3067,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Ontario,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
3068,Complete,Volunteer and giver,55-64 years,Male,Divorced,Alone,Newfoundland and Labrador,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3069,Complete,Not a volunteer but a giver,65 years and over,Male,Married,Spouse only,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3070,Complete,Not a volunteer but a giver,65 years and over,Male,Married,Spouse only,Newfoundland and Labrador,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
3071,Complete,Volunteer and giver,55-64 years,Female,"NA",Alone,Ontario,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3072,Complete,Neither volunteer nor giver,65 years and over,Male,Living common-law,Spouse only,Manitoba,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3073,Complete,Volunteer and giver,55-64 years,Male,Divorced,Single/non-single child(ren) only,British Columbia,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
3074,Complete,Neither volunteer nor giver,15-24 years,Male,"Single, never married",Living with one or two parents,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,"NA"
3075,Partial,Volunteer and giver,15-24 years,Male,"Single, never married",Alone,New Brunswick,"NA",At least once a week,"NA",Not stated,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
3076,Complete,Volunteer and giver,15-24 years,Male,"Single, never married",Living with one or two parents,Ontario,"NA",Daily or almost daily,"NA",Yes,No,"NA","NA",Employed,Less than High School,Canadian citizen by birth only,Yes,Valid skip,"NA"
3077,Partial,Not a volunteer but a giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Manitoba,"NA",Valid skip,"NA",Yes,No,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
3078,Complete,Not a volunteer but a giver,25-34 years,Female,Living common-law,Spouse and single/non-single child(ren),Saskatchewan,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3079,Complete,Volunteer and giver,45-54 years,Female,Divorced,Alone,British Columbia,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,Very satisfied
3080,Complete,Not a volunteer but a giver,65 years and over,Male,Married,Spouse only,Alberta,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3081,Complete,Not a volunteer but a giver,25-34 years,Male,Living common-law,Other living arrangement,Nova Scotia,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
3082,Complete,Neither volunteer nor giver,45-54 years,Female,"Single, never married",Alone,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3083,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Saskatchewan,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
3084,Partial,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Quebec,"NA",At least once a month,"NA",Yes,No,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
3085,Partial,"Volunteer, not giver",35-44 years,Male,Married,Spouse and single/non-single child(ren),Alberta,"NA",At least once a month,"NA",Not stated,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
3086,Complete,"Volunteer, not giver",45-54 years,Female,"Single, never married",Living with one or two parents,Quebec,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,Very satisfied
3087,Complete,Volunteer and giver,55-64 years,Male,Divorced,Alone,Quebec,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3088,Complete,"Volunteer, not giver",65 years and over,Male,Widowed,Alone,British Columbia,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by naturalization and other citizenship(s),No,Yes,Very satisfied
3089,Complete,Neither volunteer nor giver,55-64 years,Male,Divorced,Alone,Manitoba,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth and other citizenship(s),No,Valid skip,"NA"
3090,Complete,Neither volunteer nor giver,45-54 years,Male,Divorced,Single/non-single child(ren) only,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3091,Complete,"Volunteer, not giver",45-54 years,Male,Living common-law,Spouse and single/non-single child(ren),Quebec,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3092,Complete,Volunteer and giver,25-34 years,Female,Separated,Single/non-single child(ren) only,Newfoundland and Labrador,"NA",Daily or almost daily,"NA",Yes,No,"NA","NA",Unemployed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
3093,Complete,Neither volunteer nor giver,65 years and over,Male,Living common-law,Alone,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3094,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Nova Scotia,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3095,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Manitoba,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3096,Complete,Volunteer and giver,25-34 years,Male,"Single, never married",Alone,Quebec,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3097,Complete,Not a volunteer but a giver,55-64 years,Male,Married,Other living arrangement,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Unemployed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3098,Complete,Volunteer and giver,25-34 years,Male,Married,Spouse and single/non-single child(ren),Ontario,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
3099,Complete,Volunteer and giver,65 years and over,Male,Divorced,Alone,Saskatchewan,"NA",Not stated,"NA",Yes,Yes,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
3100,Complete,"Volunteer, not giver",15-24 years,Female,"Single, never married",Living with one or two parents,Manitoba,"NA",At least once a week,"NA",Yes,No,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,"NA"
